M_inf,Cp_pi/2,M_loc_pi/2
0.1,-3.0040100327912547,0.20128017744232005
0.2,-3.0831143496013533,0.414365126875553
0.3,-3.2503553661238413,0.6590636514916987
0.4,-3.6576932637477575,0.9992963865766211
