eta_deg,q,Cp,M_loc
0.0,0.0,1.0406425518727995,0.0
3.0,0.09661013047580458,1.0305479902717778,0.038045707555166466
6.0,0.19323254484238242,1.0003029906026202,0.07612932398330982
9.0,0.28969947699879495,0.9501356969487295,0.11421777179562558
12.0,0.3859319878785895,0.880424234189349,0.15231269958606003
14.999999999999998,0.4818498688577786,0.7916932441080908,0.19041487112532865
18.0,0.577371154517645,0.6846091550898284,0.2285238252089947
20.999999999999996,0.6724115764629459,0.559974285817194,0.2666374941984465
24.0,0.7668839375514453,0.41871992465139896,0.3047517670715438
27.0,0.8606973809635226,0.26189856105776416,0.3428599796825724
29.999999999999996,0.9537565218034787,0.09067548332595501,0.3809523106832264
33.0,1.0459603996011595,-0.09368000008145146,0.4190150557390208
36.0,1.1372011971161573,-0.2898034068731415,0.4570297446815201
39.0,1.227362652663666,-0.49624362195800326,0.49497205517067294
41.99999999999999,1.3163180673938126,-0.711470675524853,0.5328104609601174
45.0,1.403927771876935,-0.9338821841718403,0.5705045309108956
48.0,1.4900358621475178,-1.161807714731499,0.6080027632856597
51.0,1.5744659345572993,-1.3935100842368073,0.6452397934407945
54.0,1.6570154252043203,-1.627182232273104,0.6821327431958093
57.0,1.7374479634450668,-1.8609376989892916,0.7185763712701557
59.99999999999999,1.8154828191095496,-2.092791719316986,0.7544365049221464
63.0,1.8907799299910735,-2.320628086325255,0.7895409170956795
66.0,1.9629178989809768,-2.542143464090058,0.8236662359166593
68.99999999999999,2.0313605075093637,-2.7547549459806397,0.856518500217877
72.0,2.095405248146139,-2.9554500747164036,0.8877038632876109
74.99999999999999,2.154108627582603,-3.1405624529699225,0.9166865219691605
78.0,2.2061964116789547,-3.305498759465948,0.942738107453917
81.0,2.250002769126549,-3.4445560397072135,0.9649026900061651
83.99999999999999,2.2835314157736217,-3.5511207232029283,0.9820303642761121
87.0,2.3047402494114086,-3.6185613120382314,0.9929398131092425
90.0,2.312045103854304,-3.641792251399905,0.9967110333637197
92.99999999999999,2.304839451663705,-3.6188767899161043,0.9929909800664618
96.0,2.2837202872745843,-3.5517212251026735,0.9821272568104871
99.00000000000001,2.2502657899842746,-3.4453916477668067,0.965036492891569
102.0,2.206516801438735,-3.306514825221256,0.9428993560063599
104.99999999999999,2.1544717619265517,-3.1417103541157303,0.916867033618701
108.0,2.0957999285505435,-2.9566913033796647,0.8878974274119148
110.99999999999999,2.0317787107739,-2.756060417986601,0.856720716463054
114.0,1.9633539704602379,-2.5434910598470317,0.8238740545197915
117.0,1.8912298163420191,-2.3220003100240603,0.7897522089881349
119.99999999999999,1.81594352280455,-2.0941740589756943,0.7546497563186634
122.99999999999999,1.73791719598358,-1.8623176148428917,0.7187904873994685
126.0,1.657491390954315,-1.6285485566643378,0.6823469236667347
129.0,1.5749471921463156,-1.3948526642210104,0.6454534506310031
132.0,1.490521231761604,-1.1631171971566758,0.6082154667120355
135.0,1.404416270891544,-0.935149887701464,0.5707159679955803
137.99999999999997,1.3168088643426676,-0.712688517989886,0.5330204086322619
141.0,1.2278550335337204,-0.49740408390188523,0.495180358889212
144.0,1.1376945401598066,-0.2908995190241978,0.45723630267439125
147.0,1.0464541561591807,-0.09470534654033062,0.4192198069829624
149.99999999999997,0.9542502014427534,0.08972675187053238,0.38115522560923804
153.0,0.8611905397559874,0.26103170813419097,0.3430610528935783
156.0,0.7673761686665053,0.41793960578255707,0.304951011561071
158.99999999999997,0.6729025024785614,0.5592845254635627,0.26683493669729735
162.0,0.5778604210160267,0.6840133244101565,0.228719502383284
164.99999999999997,0.48233713898423874,0.7911940407911828,0.1906088264174514
167.99999999999997,0.38641693762306567,0.8800236653074038,0.15250498053936462
171.0,0.29018179102310687,0.9498350655450495,0.11440842774121304
174.0,0.19371191274169533,1.0001028865380757,0.07631840400231081
176.99999999999997,0.09708624351510046,1.0304482857196653,0.0382332586964273
180.0,0.0003828974385365145,1.0406423932505295,0.00015076571953437186
183.0,0.09632041834604722,1.030608420410748,0.03793158412452681
185.99999999999997,0.19294599686546168,1.0004223698419097,0.07601629988745401
189.0,0.2894157245408748,0.9503123322345579,0.11410560725045052
192.0,0.3856506615313517,0.8806563847795489,0.15220115617105923
195.0,0.481570595609502,0.7919791375096922,0.19030370981237296
198.00000000000003,0.5770935545358199,0.6849470047535736,0.22841280422199242
201.0,0.6721352595696214,0.5603623106178852,0.26652636672037916
204.0,0.7666084993343418,0.419156370212424,0.30464027875938954
206.99999999999997,0.8604223984217105,0.2623817230465452,0.3427478659310878
209.99999999999997,0.9534815483939065,0.09120373294112842,0.3808392935629523
212.99999999999997,1.0456849595163324,-0.09310818808637233,0.4189008405160782
216.0,1.1369247785778753,-0.2891894231245851,0.4569140158042723
218.99999999999997,1.2270846999581166,-0.4955886876400462,0.4948544715790728
221.99999999999997,1.3160379712939505,-0.7107758028077733,0.532690650535193
225.0,1.403644857991465,-0.9331481305312878,0.5703820838313239
228.0,1.4897493765921634,-1.1610349293054254,0.6078772239920451
230.99999999999997,1.5741750261507017,-1.3926986437052782,0.6451106508218957
234.0,1.6567191231313791,-1.6263317628558405,0.6819994185001765
236.99999999999994,1.7371451489991463,-1.86004728000528,0.718438203115288
239.99999999999997,1.815172189808645,-2.0918597625871267,0.7542927306757014
