M_inf,Iters_FastSIP,Iters_SLOR,M_loc_max,Cp_min,Speedup
0.1,92,1316,0.19274992853641434,-2.6771148930051973,14.304347826086957
0.2,94,1333,0.39510466442639036,-2.7364677381398943,14.180851063829786
0.3,98,1365,0.6219621779441561,-2.8562443479456334,13.928571428571429
0.4,105,1420,0.9121887455013156,-3.1119390900380024,13.523809523809524
