Method,Iters,Residual
FastSIP (alpha=0.92),98,3.0040633758332547e-07
FastSIP (alpha=0.0),341,4.0086426777996564e-07
SLOR (omega=1.7),1365,9.965157819452255e-07
SLOR (omega=1.0),4429,9.98830285730886e-07
