theta,M_local,Cp
0.0,0.0,1.0227029548085398
2.857142857142857,0.013903421823121254,1.0204169331802484
5.714285714285714,0.041795118062169005,1.0020593981783938
8.571428571428571,0.0697418864010115,0.9653029170447341
11.428571428571429,0.09761345911159999,0.9104922027910238
14.285714285714286,0.12537818724932687,0.8380937409352259
17.142857142857142,0.15300308143443256,0.7487253131272898
20.000000000000004,0.18045339310667127,0.643152008399302
22.857142857142858,0.20769218782265078,0.5222813758511087
25.714285714285715,0.2346798996526262,0.3871578180164645
28.571428571428573,0.2613738654386114,0.23895632203377712
31.428571428571434,0.2877278391439297,0.07897562578291456
34.285714285714285,0.31369148858987234,-0.09136909173103534
37.142857142857146,0.3392098797214512,-0.27055392396741723
40.00000000000001,0.36422295739463906,-0.4569543117187555
42.85714285714286,0.3886650367859376,-0.6488534794128009
45.714285714285715,0.4124643261514998,-0.8444512918356509
48.57142857142858,0.43554251002349315,-1.041873666924158
51.42857142857143,0.45781443211172496,-1.2391827754518343
54.28571428571429,0.4791879289959982,-1.4343883703964322
57.142857142857146,0.4995638784974465,-1.6254607115294941
60.00000000000001,0.5188365390275841,-1.810345671635916
62.85714285714287,0.5368942658527432,-1.9869827078214273
65.71428571428572,0.5536206934993834,-2.1533264215180634
68.57142857142857,0.5688964657371847,-2.307372370307353
71.42857142857143,0.5826015703926914,-2.447187584253085
74.28571428571429,0.5946182910468395,-2.570945836236766
77.14285714285715,0.6048347196439784,-2.6769671029746456
80.00000000000001,0.6131486867701458,-2.7637598638926812
82.85714285714288,0.619471870932707,-2.830064020752339
85.71428571428572,0.6237337633717618,-2.8748914540012462
88.57142857142857,0.6258851141216397,-2.8975607757390085
91.42857142857143,0.6259004895340005,-2.8977228878901666
94.28571428571428,0.6237796421373574,-2.8753746057855287
97.14285714285715,0.6195475244009176,-2.8308588051919252
100.0,0.6132529446514472,-2.7648510759007885
102.85714285714286,0.6049660304577336,-2.67833439368045
105.71428571428572,0.5947747965182436,-2.5725645299291875
108.57142857142858,0.5827811860976291,-2.4490295827177775
111.42857142857143,0.5690969608349957,-2.3094070738356085
114.28571428571429,0.5538397638613796,-2.1555216092897895
117.14285714285715,0.5371295968042026,-1.989305338169203
120.00000000000001,0.519085855825431,-1.8127625806501104
122.85714285714286,0.499824984256856,-1.6279392036156797
125.71428571428574,0.4794587309142042,-1.4368967053440078
128.57142857142856,0.4580929575097792,-1.241690563204713
131.42857142857144,0.4358269140131356,-1.0443521842465922
134.28571428571428,0.4127528927438126,-0.8468737354484008
137.14285714285714,0.38895617509749936,-0.6511951689318266
140.0,0.36451519436123353,-0.45919285366757473
142.85714285714286,0.33950185045920367,-0.2726693458242137
145.71428571428575,0.3139819252857582,-0.09334395276190964
148.57142857142858,0.28801555913095683,0.0771561420801569
151.42857142857144,0.2616577589227854,0.23730433062474002
154.2857142857143,0.23495891740887634,0.3856826681344614
157.14285714285714,0.20796532906141044,0.5209895987821455
160.00000000000003,0.1807196936265221,0.6420472767505035
162.85714285714286,0.15326160211381704,0.7478084114942899
165.71428571428575,0.12562800288749054,0.8373625481258712
168.57142857142858,0.09785364760338698,0.9099416858777299
171.42857142857144,0.06997151822097557,0.964925137553704
174.2857142857143,0.04201323734401024,1.0018435393261267
177.14285714285714,0.014009469734333053,1.02038193015934
180.0,0.0,1.0227029548085398
