theta,M_local,Cp
0.0,0.0,1.0100400399680662
2.857142857142857,0.009625096545798519,1.0076585763296173
5.714285714285714,0.028856526288077826,0.988641839397976
8.571428571428571,0.04803347899826812,0.9507899246728535
11.428571428571429,0.06712067827528602,0.8944595194663014
14.285714285714286,0.08608142208686691,0.8201841397232423
17.142857142857142,0.10487871633593472,0.7286684318338025
20.000000000000004,0.12347499953477806,0.6207827282115488
22.857142857142858,0.14183200393009224,0.49755624660038505
25.714285714285715,0.15991064919152934,0.3601689893576136
28.571428571428573,0.17767095470903474,0.20994240412164353
31.428571428571434,0.19507197170195448,0.04832885049723836
34.285714285714285,0.21207173905611246,-0.12310009033135645
37.142857142857146,0.2286272676287172,-0.3026664319311367
40.00000000000001,0.24469455823568256,-0.4885996993606073
42.85714285714286,0.2602286588435488,-0.6790519255488814
45.714285714285715,0.27518376659979515,-0.8721137090826335
48.57142857142858,0.2895133801813199,-1.0658313137713273
51.42857142857143,0.30317050743903584,-1.2582247831488453
54.28571428571429,0.31610793238241197,-1.4473070281507243
57.142857142857146,0.32827854410460894,-1.6311038218732663
60.00000000000001,0.3396357282410164,-1.8076746003164839
62.85714285714287,0.3501338189634419,-1.9751339218612318
65.71428571428572,0.35972860637630255,-2.1316733815943674
68.57142857142857,0.3683778906095567,-2.275583711611854
71.42857142857143,0.37604207008941837,-2.405276728941617
74.28571428571429,0.38268474769146243,-2.519306724320598
77.14285714285715,0.38827333509404754,-2.616390824796897
80.00000000000001,0.3927796330489646,-2.6954278189556806
82.85714285714288,0.39618036386322153,-2.755514913358637
85.71428571428572,0.3984576324705768,-2.795961899154938
88.57142857142857,0.3995992942687243,-2.8163022528616803
91.42857142857143,0.3995992114354051,-2.8163007755425324
94.28571428571428,0.39845738453508245,-2.795957486393262
97.14285714285715,0.3961799525050751,-2.755507622339079
100.0,0.392779061021873,-2.695417743660999
102.85714285714286,0.3882726061601148,-2.616378094080194
105.71428571428572,0.3826838665337796,-2.5192914993208135
108.57142857142858,0.3760410422071958,-2.405259199945041
111.42857142857143,0.36837672220050266,-2.275564094477885
114.28571428571429,0.3597273042111003,-2.1316519138702015
117.14285714285715,0.3501323902569941,-1.975110858709284
120.00000000000001,0.339634180524633,-1.8076502103712062
122.85714285714286,0.3282768851025985,-1.631078383131118
125.71428571428574,0.31610616989569285,-1.4472808239823653
128.57142857142856,0.30316864923742115,-1.2581980985046843
131.42857142857144,0.2895114339051534,-1.0658044316353776
134.28571428571428,0.2751817396705956,-0.8720869072132271
137.14285714285714,0.2602265583822163,-0.6790254735308293
140.0,0.24469239098554138,-0.4885738559809448
142.85714285714286,0.2286250398789275,-0.30264144288053807
145.71428571428575,0.21206945655840273,-0.12307618622428967
148.57142857142858,0.19506963956919154,0.04835145579790145
151.42857142857144,0.1776685772759168,0.2099635148992616
154.2857142857143,0.15990822980123157,0.3601884291916022
157.14285714285714,0.14182954457473812,0.4975738593341406
160.00000000000003,0.12347250018965245,0.6207983788754089
162.85714285714286,0.10487617357363188,0.7286820079397245
165.71428571428575,0.08607882564298476,0.8201955545574313
168.57142857142858,0.06711800006662141,0.8944687242564934
171.42857142857144,0.0480306265086168,0.950796954352668
174.2857142857143,0.0288531057221524,0.9886469101542195
177.14285714285714,0.009623163928048385,1.0076595325392526
180.0,0.0,1.0100400399680662
