M_inf,Converged,Iters,Final_Err,M_local_top
0.1,False,2000,1.9519582567444055e-06,0.19496296658090093
0.2,False,2000,2.388247518204511e-06,0.3995992114354051
0.3,False,2000,3.43796833034537e-06,0.6287787923273387
0.4,False,2000,6.157288478258356e-06,0.9201231847157718
