Method,Parameter,Iters,Residual,M_local_max,Cp_min,Converged
SIP,0.92,1412,9.98243933939919e-07,0.6219348136603312,-2.855956467494759,True
SIP,0.0,4944,9.991763152101178e-07,0.6217914975822102,-2.85444881268873,True
SLOR,1.7,1365,9.965157819452255e-07,0.6219656228212388,-2.8562805894004546,True
SLOR,1.0,4429,9.98830285730886e-07,0.6218329539177987,-2.8548849119233926,True
