eta_deg,Cp,M_loc
0.0,1.0025025006248989,0.0
3.0,0.9916395533858018,0.01038641960059116
6.0,0.959167981795707,0.02074629418847645
9.0,0.9054329335099276,0.03105397889573234
12.0,0.8310064842909715,0.04128335694697412
14.999999999999998,0.7366820365654533,0.05140837108692719
18.0,0.623466187109337,0.061403075422687504
20.999999999999996,0.49256886202723005,0.07124163995898451
24.0,0.3453913251502603,0.08089838102281953
27.0,0.1835121953071323,0.09034779909864453
29.999999999999996,0.008671576240975348,0.09956462321782365
33.0,-0.17724658318805728,0.10852386220222199
36.0,-0.372233763540294,0.11720086313396294
39.0,-0.5741776306847436,0.12557137731550977
41.99999999999999,-0.7808841005414774,0.13361163381976746
45.0,-0.9901005205889306,0.14129842053397787
48.0,-1.1995397562012398,0.14860917238207727
51.0,-1.4069049501433313,0.1555220661734077
54.0,-1.6099147043822248,0.16201612127716555
57.0,-1.806328415364322,0.16807130506885473
59.99999999999999,-1.993971477773724,0.17366864184599307
63.0,-2.170760058332864,0.17879032367542338
66.0,-2.334725131315654,0.18341982142483193
68.99999999999999,-2.4840354620192198,0.18754199405807223
72.0,-2.617019224359227,0.19114319414897166
74.99999999999999,-2.7321839447878182,0.19421136750186752
78.0,-2.828234477492538,0.19673614476767795
81.0,-2.9040887356939686,0.19870892301770962
83.99999999999999,-2.9588909308909668,0.20012293538603879
87.0,-2.9920221058522856,0.20097330711361536
90.0,-3.003107787402568,0.20125709661747446
92.99999999999999,-2.9920226306362796,0.20097332055669898
96.0,-2.958891975840839,0.20012296225946333
99.00000000000001,-2.904090291601197,0.1987089632960937
102.0,-2.828236530613354,0.19673619841320328
104.99999999999999,-2.7321864769255875,0.19421143446456415
108.0,-2.6170222129722194,0.19114327436706613
110.99999999999999,-2.484038880353502,0.1875420874583699
114.0,-2.334728948561872,0.18341992792309736
117.0,-2.170764239804382,0.1787904431767113
119.99999999999999,-1.9939759851052798,0.17366877424487226
122.99999999999999,-1.8063332067294837,0.16807145024944778
126.0,-1.6099197347269687,0.1620162791129082
129.0,-1.4069101714346037,0.15552223652639763
132.0,-1.1995451176884304,0.14860935510183312
135.0,-0.9901059690756401,0.14129861545534905
137.99999999999997,-0.7808895806660379,0.13361184075961902
141.0,-0.5741830852072439,0.12557159606760585
144.0,-0.37223913363360056,0.11720109346112782
147.0,-0.1772518087297392,0.10852410382426748
149.99999999999997,0.008666556378671735,0.09956487579263537
153.0,0.18350744297606394,0.0903480621916967
156.0,0.34538690266217026,0.08089865405601813
158.99999999999997,0.49256483192656414,0.07124192211991534
162.0,0.6234626120369401,0.061403365490675585
164.99999999999997,0.7366789793904005,0.05140866705912571
167.99999999999997,0.8310040093147157,0.0412836550686019
171.0,0.9054311134576599,0.03105427015145437
174.0,0.9591669674130339,0.0207465370506864
176.99999999999997,0.9916393011911557,0.010386540171499509
180.0,1.0025025006085944,4.02051744195611e-07
183.0,0.9916409827792309,0.010385736200018867
185.99999999999997,0.9591703237235015,0.0207457334762399
189.0,0.905436130784119,0.031053467242096025
192.0,0.8310106671596261,0.04128285309740686
195.0,0.736687250539214,0.05140786630614001
198.00000000000003,0.6234724626585918,0.06140256624480946
