Config,Iters,Converged,M_local_top,Cp_top
SIP alpha=0.9,714,True,0.6289087866380704,-2.9294674993738163
SIP alpha=0.0,2000,False,0.6287787923273387,-2.9280946771148706
SLOR omega=1.3,2000,False,0.6288306054997451,-2.928641845455921
SLOR omega=1.0,2000,False,0.6259004895340005,-2.8977228878901666
