M_inf,M_local_pnm,Cp_pnm,Iters_pnm,Iters_slor,Err_pnm,Err_slor
0.1,0.19274994467861215,-2.677115499121545,1799,1772,9.999553715659972e-08,9.972734738663062e-08
0.2,0.3951047165531826,-2.7364686602253143,1836,1791,9.960242482580054e-08,9.981250955420607e-08
0.3,0.621962315500571,-2.856245795091578,1906,1825,9.968029196003577e-08,9.957241883743714e-08
0.4,0.9121883110821961,-3.1119363234834903,2000,1878,1.1823807102419192e-07,9.978944630848698e-08
